,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,timestamp
316,DtxWm-IYqEU,Takk,Takk,Jan Pasternak,https://yt3.ggpht.com/qzvDa8StwZypfnybUXB_qvBAG5kZWyvlyif-L72i0qaxAMDfHH8NHZqLvTqFib6DGciVftKEmw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCPQb4NdGvOKZw3ltR7p3eTQ,{'value': 'UCPQb4NdGvOKZw3ltR7p3eTQ'},True,none,0,2022-05-07T16:31:13Z,2022-05-07T16:31:13Z,,1651941073
317,DtxWm-IYqEU,oooooooooooooo kurde ile ja czekałem na to,oooooooooooooo kurde ile ja czekałem na to,franatol m,https://yt3.ggpht.com/ytc/AMLnZu-OP2UuWsJBxRQgjlPFovtxmXGtT_2KVYVusotq=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCaWG6GNKuPGQuW6UZdDqlHw,{'value': 'UCaWG6GNKuPGQuW6UZdDqlHw'},True,none,0,2022-05-07T16:29:28Z,2022-05-07T16:29:28Z,,1651940968
318,DtxWm-IYqEU,Idealny skrót,Idealny skrót,Tomasz Grabowski,https://yt3.ggpht.com/ytc/AMLnZu-l-vCDpVYn_qtihsEnKWThNI70Hvjpg0ieIUVP=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCRJ9wf2uwJ4zSJRkSsDtO0w,{'value': 'UCRJ9wf2uwJ4zSJRkSsDtO0w'},True,none,0,2022-05-07T16:29:05Z,2022-05-07T16:29:05Z,,1651940945
319,DtxWm-IYqEU,"Nareszci, mój ulubiony film","Nareszci, mój ulubiony film",Hubert  🐰,https://yt3.ggpht.com/ytc/AMLnZu_cxVMZ6SgHqKWWx8h5zEwnmes63aoCUXX1ARZeQlMETVklz3UC85vBst2Nzrhi=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCciDKGJpG7N5mJZADbsdFsA,{'value': 'UCciDKGJpG7N5mJZADbsdFsA'},True,none,0,2022-05-07T16:28:30Z,2022-05-07T16:28:30Z,,1651940910
320,DtxWm-IYqEU,to jest mój ulubiony boysband,to jest mój ulubiony boysband,Dorota Przybyszewska,https://yt3.ggpht.com/ytc/AMLnZu-Y17xbRUViBpMLNogwAqxlk3es3AEZvvnGJw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCvwvGI71KNchPXwJ3sirfVg,{'value': 'UCvwvGI71KNchPXwJ3sirfVg'},True,none,0,2022-05-07T16:27:56Z,2022-05-07T16:27:56Z,,1651940876
321,DtxWm-IYqEU,Juuupi ! :D,Juuupi ! :D,Bartosz Grzelak,https://yt3.ggpht.com/ytc/AMLnZu_jvFD_-pz-QXqtTLJZYkze5JN1Cl7WG5gCZ7QRjg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCyWXQT0CzGah0vJmIu83Pgg,{'value': 'UCyWXQT0CzGah0vJmIu83Pgg'},True,none,0,2022-05-07T16:26:38Z,2022-05-07T16:26:38Z,,1651940798
322,DtxWm-IYqEU,"WY - PIER - DALAJ, to był najlepszy tekst","WY - PIER - DALAJ, to był najlepszy tekst",Karol Stańczak,https://yt3.ggpht.com/ytc/AMLnZu-XEwZn5vp_fH7uszpghw0NBaVC0owbzCLU0g=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCwVEoB0XB1fB8bx9b_Z4X7A,{'value': 'UCwVEoB0XB1fB8bx9b_Z4X7A'},True,none,10,2022-05-07T16:26:13Z,2022-05-07T16:26:13Z,,1651940773
323,DtxWm-IYqEU,Dzień 3: Proszę o kontynuację Piratów z Karaibów.,Dzień 3: Proszę o kontynuację Piratów z Karaibów.,Olek Trofimczuk,https://yt3.ggpht.com/ytc/AMLnZu9uPqxqODhaTvYO25DP8PnyHVfYCvy2WUGu5x5h=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCD2-ygDsrzW2Aim_iNkG_zg,{'value': 'UCD2-ygDsrzW2Aim_iNkG_zg'},True,none,30,2022-05-07T16:23:06Z,2022-05-07T16:23:06Z,,1651940586
324,DtxWm-IYqEU,"Gandalf udowadnia, że jest prawdziwym Magikiem i spada( &quot;jestem bogiem&quot; w tle).","Gandalf udowadnia, że jest prawdziwym Magikiem i spada( ""jestem bogiem"" w tle).",Marcin Dziki,https://yt3.ggpht.com/ytc/AMLnZu82oGZ7jwHCWqbtkBaL-M0xzFsIca3sQ5_iE7tu=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCJOinl6EATgA5cKfCtxTFtQ,{'value': 'UCJOinl6EATgA5cKfCtxTFtQ'},True,none,15,2022-05-07T16:22:41Z,2022-05-07T16:22:41Z,,1651940561
325,DtxWm-IYqEU,"Jak to Frodo to kuzyni Bilba, przecież Frodo to stryjeczny bratanek i cioteczny siostrzeniec Bilba, czy tą koligację rodziną nazywa się kuzynostwem?","Jak to Frodo to kuzyni Bilba, przecież Frodo to stryjeczny bratanek i cioteczny siostrzeniec Bilba, czy tą koligację rodziną nazywa się kuzynostwem?",Tymoteus,https://yt3.ggpht.com/77bZyP0bNW5WfHftp2puG8UD6k4BcBZ_DVNuD17glBbbvrWB0hlU2lIL1JdUXz2eeJfDQzZAvPA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC4SdBzqKceIR6E2N2G8nZlw,{'value': 'UC4SdBzqKceIR6E2N2G8nZlw'},True,none,0,2022-05-07T16:21:48Z,2022-05-07T16:21:48Z,,1651940508
